,Page_URL,Text,Crafting_Focus,,
T7_2H_DUALSWORD@3,https://albiononline2d.com/en/item/id/T7_2H_DUALSWORD@3,Crafting Requirements (2),49260,,
T6_SHOES_LEATHER_SET1@3,https://albiononline2d.com/en/item/id/T6_SHOES_LEATHER_SET1@3,Crafting Requirements (1),7037,,
T6_WOOD_LEVEL1,https://albiononline2d.com/en/item/id/T6_WOOD_LEVEL1,Crafting Requirements (1),0,,
T6_HEAD_LEATHER_SET2@4,https://albiononline2d.com/en/item/id/T6_HEAD_LEATHER_SET2@4,Crafting Requirements (1),12315,,
T6_MAIN_HOLYSTAFF,https://albiononline2d.com/en/item/id/T6_MAIN_HOLYSTAFF,Crafting Requirements (2),3939,,
T7_2H_HAMMER@1,https://albiononline2d.com/en/item/id/T7_2H_HAMMER@1,Crafting Requirements (2),16085,,
T6_OFF_SHIELD_HELL@4,https://albiononline2d.com/en/item/id/T6_OFF_SHIELD_HELL@4,Crafting Requirements (3),12315,,
T6_SHOES_CLOTH_KEEPER@4,https://albiononline2d.com/en/item/id/T6_SHOES_CLOTH_KEEPER@4,Crafting Requirements (2),12315,,
T6_OFF_CENSER_AVALON@4,https://albiononline2d.com/en/item/id/T6_OFF_CENSER_AVALON@4,Crafting Requirements (3),12315,,
T7_2H_COMBATSTAFF_MORGANA@4,https://albiononline2d.com/en/item/id/T7_2H_COMBATSTAFF_MORGANA@4,Crafting Requirements (3),86205,,
T6_WOOD_LEVEL2,https://albiononline2d.com/en/item/id/T6_WOOD_LEVEL2,Crafting Requirements (1),0,,
T7_2H_DUALSWORD@4,https://albiononline2d.com/en/item/id/T7_2H_DUALSWORD@4,Crafting Requirements (2),86205,,
T6_2H_TOOL_PICK_AVALON,https://albiononline2d.com/en/item/id/T6_2H_TOOL_PICK_AVALON,Crafting Requirements (3),1313,,
T6_SHOES_LEATHER_SET1@4,https://albiononline2d.com/en/item/id/T6_SHOES_LEATHER_SET1@4,Crafting Requirements (1),12315,,
T6_SHOES_CLOTH_SET1@4,https://albiononline2d.com/en/item/id/T6_SHOES_CLOTH_SET1@4,Crafting Requirements (1),12315,,
T6_ARTEFACT_MAIN_SCIMITAR_MORGANA,https://albiononline2d.com/en/item/id/T6_ARTEFACT_MAIN_SCIMITAR_MORGANA,Crafting Requirements (1),,,
T6_MAIN_HOLYSTAFF@1,https://albiononline2d.com/en/item/id/T6_MAIN_HOLYSTAFF@1,Crafting Requirements (2),6893,,
T6_OFF_DEMONSKULL_HELL,https://albiononline2d.com/en/item/id/T6_OFF_DEMONSKULL_HELL,Crafting Requirements (3),1313,,
T6_WOOD_LEVEL3,https://albiononline2d.com/en/item/id/T6_WOOD_LEVEL3,Crafting Requirements (1),0,,
T6_HEAD_CLOTH_SET1@1,https://albiononline2d.com/en/item/id/T6_HEAD_CLOTH_SET1@1,Crafting Requirements (1),2298,,
T6_OFF_SPIKEDSHIELD_MORGANA,https://albiononline2d.com/en/item/id/T6_OFF_SPIKEDSHIELD_MORGANA,Crafting Requirements (3),1313,,
T7_2H_HAMMER@2,https://albiononline2d.com/en/item/id/T7_2H_HAMMER@2,Crafting Requirements (2),28148,,
T7_2H_ENIGMATICSTAFF,https://albiononline2d.com/en/item/id/T7_2H_ENIGMATICSTAFF,Crafting Requirements (2),9191,,
T7_2H_CROSSBOW,https://albiononline2d.com/en/item/id/T7_2H_CROSSBOW,Crafting Requirements (2),9191,,
T6_ARTEFACT_MAIN_SPEAR_KEEPER,https://albiononline2d.com/en/item/id/T6_ARTEFACT_MAIN_SPEAR_KEEPER,Crafting Requirements (1),,,
T6_SHOES_CLOTH_SET2,https://albiononline2d.com/en/item/id/T6_SHOES_CLOTH_SET2,Crafting Requirements (1),1313,,
T6_WOOD_LEVEL4,https://albiononline2d.com/en/item/id/T6_WOOD_LEVEL4,Crafting Requirements (1),,,
T6_HEAD_CLOTH_SET1@2,https://albiononline2d.com/en/item/id/T6_HEAD_CLOTH_SET1@2,Crafting Requirements (1),4021,,
T6_MAIN_HOLYSTAFF@2,https://albiononline2d.com/en/item/id/T6_MAIN_HOLYSTAFF@2,Crafting Requirements (2),12064,,
T6_SHOES_LEATHER_SET2,https://albiononline2d.com/en/item/id/T6_SHOES_LEATHER_SET2,Crafting Requirements (1),1313,,
T6_OFF_DEMONSKULL_HELL@1,https://albiononline2d.com/en/item/id/T6_OFF_DEMONSKULL_HELL@1,Crafting Requirements (3),2298,,
T6_SHOES_CLOTH_SET2@1,https://albiononline2d.com/en/item/id/T6_SHOES_CLOTH_SET2@1,Crafting Requirements (1),2298,,
T6_OFF_SPIKEDSHIELD_MORGANA@1,https://albiononline2d.com/en/item/id/T6_OFF_SPIKEDSHIELD_MORGANA@1,Crafting Requirements (3),2298,,
T6_MAIN_HOLYSTAFF@3,https://albiononline2d.com/en/item/id/T6_MAIN_HOLYSTAFF@3,Crafting Requirements (2),21111,,
T7_2H_HAMMER@3,https://albiononline2d.com/en/item/id/T7_2H_HAMMER@3,Crafting Requirements (2),49260,,
T7_2H_ARCANESTAFF,https://albiononline2d.com/en/item/id/T7_2H_ARCANESTAFF,Crafting Requirements (2),9191,,
T7_2H_CROSSBOW@1,https://albiononline2d.com/en/item/id/T7_2H_CROSSBOW@1,Crafting Requirements (2),16085,,
T6_2H_TOOL_SIEGEHAMMER,https://albiononline2d.com/en/item/id/T6_2H_TOOL_SIEGEHAMMER,Crafting Requirements (2),2626,,
T7_2H_ENIGMATICSTAFF@1,https://albiononline2d.com/en/item/id/T7_2H_ENIGMATICSTAFF@1,Crafting Requirements (2),16085,,
T6_OFF_DEMONSKULL_HELL@2,https://albiononline2d.com/en/item/id/T6_OFF_DEMONSKULL_HELL@2,Crafting Requirements (3),4021,,
T7_2H_ARCANESTAFF@1,https://albiononline2d.com/en/item/id/T7_2H_ARCANESTAFF@1,Crafting Requirements (2),16085,,
T7_2H_IRONCLADEDSTAFF@3,https://albiononline2d.com/en/item/id/T7_2H_IRONCLADEDSTAFF@3,Crafting Requirements (2),49260,,
T6_HEAD_LEATHER_SET3,https://albiononline2d.com/en/item/id/T6_HEAD_LEATHER_SET3,Crafting Requirements (1),1313,,
T6_SHOES_LEATHER_SET2@1,https://albiononline2d.com/en/item/id/T6_SHOES_LEATHER_SET2@1,Crafting Requirements (1),2298,,
T6_OFF_DEMONSKULL_HELL@3,https://albiononline2d.com/en/item/id/T6_OFF_DEMONSKULL_HELL@3,Crafting Requirements (3),7037,,
T6_SHOES_CLOTH_SET2@2,https://albiononline2d.com/en/item/id/T6_SHOES_CLOTH_SET2@2,Crafting Requirements (1),4021,,
T7_2H_ENIGMATICSTAFF@2,https://albiononline2d.com/en/item/id/T7_2H_ENIGMATICSTAFF@2,Crafting Requirements (2),28148,,
T7_2H_ARCANESTAFF@2,https://albiononline2d.com/en/item/id/T7_2H_ARCANESTAFF@2,Crafting Requirements (2),28148,,
T7_2H_NATURESTAFF@2,https://albiononline2d.com/en/item/id/T7_2H_NATURESTAFF@2,Crafting Requirements (2),28148,,
T6_2H_TOOL_SIEGEHAMMER_AVALON,https://albiononline2d.com/en/item/id/T6_2H_TOOL_SIEGEHAMMER_AVALON,Crafting Requirements (3),2626,,
T7_2H_CROSSBOW@2,https://albiononline2d.com/en/item/id/T7_2H_CROSSBOW@2,Crafting Requirements (2),28148,,
T6_SHOES_CLOTH_SET2@3,https://albiononline2d.com/en/item/id/T6_SHOES_CLOTH_SET2@3,Crafting Requirements (1),7037,,
T6_OFF_DEMONSKULL_HELL@4,https://albiononline2d.com/en/item/id/T6_OFF_DEMONSKULL_HELL@4,Crafting Requirements (3),12315,,
T6_OFF_SPIKEDSHIELD_MORGANA@2,https://albiononline2d.com/en/item/id/T6_OFF_SPIKEDSHIELD_MORGANA@2,Crafting Requirements (3),4021,,
T7_2H_ENIGMATICSTAFF@3,https://albiononline2d.com/en/item/id/T7_2H_ENIGMATICSTAFF@3,Crafting Requirements (2),49260,,
T7_2H_IRONCLADEDSTAFF@4,https://albiononline2d.com/en/item/id/T7_2H_IRONCLADEDSTAFF@4,Crafting Requirements (2),86205,,
T6_SHOES_LEATHER_SET2@2,https://albiononline2d.com/en/item/id/T6_SHOES_LEATHER_SET2@2,Crafting Requirements (1),4021,,
T7_2H_NATURESTAFF@3,https://albiononline2d.com/en/item/id/T7_2H_NATURESTAFF@3,Crafting Requirements (2),49260,,
T7_2H_ARCANESTAFF@3,https://albiononline2d.com/en/item/id/T7_2H_ARCANESTAFF@3,Crafting Requirements (2),49260,,
T6_OFF_HORN_KEEPER,https://albiononline2d.com/en/item/id/T6_OFF_HORN_KEEPER,Crafting Requirements (3),1313,,
T7_2H_HAMMER@4,https://albiononline2d.com/en/item/id/T7_2H_HAMMER@4,Crafting Requirements (2),86205,,
T6_HEAD_LEATHER_SET3@1,https://albiononline2d.com/en/item/id/T6_HEAD_LEATHER_SET3@1,Crafting Requirements (1),2298,,
T7_2H_ENIGMATICSTAFF@4,https://albiononline2d.com/en/item/id/T7_2H_ENIGMATICSTAFF@4,Crafting Requirements (2),86205,,
T6_OFF_SPIKEDSHIELD_MORGANA@3,https://albiononline2d.com/en/item/id/T6_OFF_SPIKEDSHIELD_MORGANA@3,Crafting Requirements (3),7037,,
T7_2H_ARCANESTAFF@4,https://albiononline2d.com/en/item/id/T7_2H_ARCANESTAFF@4,Crafting Requirements (2),86205,,
T6_OFF_HORN_KEEPER@1,https://albiononline2d.com/en/item/id/T6_OFF_HORN_KEEPER@1,Crafting Requirements (3),2298,,
T6_SHOES_CLOTH_SET2@4,https://albiononline2d.com/en/item/id/T6_SHOES_CLOTH_SET2@4,Crafting Requirements (1),12315,,
T7_2H_NATURESTAFF@4,https://albiononline2d.com/en/item/id/T7_2H_NATURESTAFF@4,Crafting Requirements (2),86205,,
T7_2H_CROSSBOW@3,https://albiononline2d.com/en/item/id/T7_2H_CROSSBOW@3,Crafting Requirements (2),49260,,
T6_2H_TWINSCYTHE_HELL,https://albiononline2d.com/en/item/id/T6_2H_TWINSCYTHE_HELL,Crafting Requirements (3),5252,,
T6_SHOES_LEATHER_SET2@3,https://albiononline2d.com/en/item/id/T6_SHOES_LEATHER_SET2@3,Crafting Requirements (1),7037,,
T7_2H_KNUCKLES_HELL,https://albiononline2d.com/en/item/id/T7_2H_KNUCKLES_HELL,Crafting Requirements (3),9191,,
T7_2H_ARCANESTAFF_HELL,https://albiononline2d.com/en/item/id/T7_2H_ARCANESTAFF_HELL,Crafting Requirements (3),9191,,
T6_OFF_HORN_KEEPER@2,https://albiononline2d.com/en/item/id/T6_OFF_HORN_KEEPER@2,Crafting Requirements (3),4021,,
T7_2H_FIRESTAFF,https://albiononline2d.com/en/item/id/T7_2H_FIRESTAFF,Crafting Requirements (2),9191,,
T7_2H_NATURESTAFF_HELL,https://albiononline2d.com/en/item/id/T7_2H_NATURESTAFF_HELL,Crafting Requirements (3),9191,,
T6_OFF_SPIKEDSHIELD_MORGANA@4,https://albiononline2d.com/en/item/id/T6_OFF_SPIKEDSHIELD_MORGANA@4,Crafting Requirements (3),12315,,
T6_HEAD_LEATHER_SET3@2,https://albiononline2d.com/en/item/id/T6_HEAD_LEATHER_SET3@2,Crafting Requirements (1),4021,,
T7_2H_ARCANESTAFF_HELL@1,https://albiononline2d.com/en/item/id/T7_2H_ARCANESTAFF_HELL@1,Crafting Requirements (3),16085,,
T6_OFF_HORN_KEEPER@3,https://albiononline2d.com/en/item/id/T6_OFF_HORN_KEEPER@3,Crafting Requirements (3),7037,,
T6_SHOES_CLOTH_SET3,https://albiononline2d.com/en/item/id/T6_SHOES_CLOTH_SET3,Crafting Requirements (1),1313,,
T6_SHOES_LEATHER_SET2@4,https://albiononline2d.com/en/item/id/T6_SHOES_LEATHER_SET2@4,Crafting Requirements (1),12315,,
T7_2H_HAMMER_UNDEAD,https://albiononline2d.com/en/item/id/T7_2H_HAMMER_UNDEAD,Crafting Requirements (3),9191,,
T7_2H_KNUCKLES_HELL@1,https://albiononline2d.com/en/item/id/T7_2H_KNUCKLES_HELL@1,Crafting Requirements (3),16085,,
T6_2H_TWINSCYTHE_HELL@1,https://albiononline2d.com/en/item/id/T6_2H_TWINSCYTHE_HELL@1,Crafting Requirements (3),9191,,
T7_2H_NATURESTAFF_HELL@1,https://albiononline2d.com/en/item/id/T7_2H_NATURESTAFF_HELL@1,Crafting Requirements (3),16085,,
T7_2H_FIRESTAFF@1,https://albiononline2d.com/en/item/id/T7_2H_FIRESTAFF@1,Crafting Requirements (2),16085,,
T7_2H_CROSSBOW@4,https://albiononline2d.com/en/item/id/T7_2H_CROSSBOW@4,Crafting Requirements (2),86205,,
T6_OFF_TALISMAN_AVALON,https://albiononline2d.com/en/item/id/T6_OFF_TALISMAN_AVALON,Crafting Requirements (3),1313,,
T7_2H_ARCANESTAFF_HELL@2,https://albiononline2d.com/en/item/id/T7_2H_ARCANESTAFF_HELL@2,Crafting Requirements (3),28148,,
T6_OFF_HORN_KEEPER@4,https://albiononline2d.com/en/item/id/T6_OFF_HORN_KEEPER@4,Crafting Requirements (3),12315,,
T6_HEAD_LEATHER_SET3@3,https://albiononline2d.com/en/item/id/T6_HEAD_LEATHER_SET3@3,Crafting Requirements (1),7037,,
T7_2H_FIRESTAFF@2,https://albiononline2d.com/en/item/id/T7_2H_FIRESTAFF@2,Crafting Requirements (2),28148,,
T6_SHOES_LEATHER_SET3,https://albiononline2d.com/en/item/id/T6_SHOES_LEATHER_SET3,Crafting Requirements (1),1313,,
T7_2H_ARCANESTAFF_HELL@3,https://albiononline2d.com/en/item/id/T7_2H_ARCANESTAFF_HELL@3,Crafting Requirements (3),49260,,
T6_OFF_JESTERCANE_HELL,https://albiononline2d.com/en/item/id/T6_OFF_JESTERCANE_HELL,Crafting Requirements (3),1313,,
T7_2H_NATURESTAFF_HELL@2,https://albiononline2d.com/en/item/id/T7_2H_NATURESTAFF_HELL@2,Crafting Requirements (3),28148,,
T7_2H_KNUCKLES_HELL@2,https://albiononline2d.com/en/item/id/T7_2H_KNUCKLES_HELL@2,Crafting Requirements (3),28148,,
T7_2H_HAMMER_UNDEAD@1,https://albiononline2d.com/en/item/id/T7_2H_HAMMER_UNDEAD@1,Crafting Requirements (3),16085,,
T6_OFF_TALISMAN_AVALON@1,https://albiononline2d.com/en/item/id/T6_OFF_TALISMAN_AVALON@1,Crafting Requirements (3),2298,,
T7_2H_CROSSBOWLARGE,https://albiononline2d.com/en/item/id/T7_2H_CROSSBOWLARGE,Crafting Requirements (2),9191,,
T7_2H_AXE,https://albiononline2d.com/en/item/id/T7_2H_AXE,Crafting Requirements (2),9191,,
T7_2H_FIRESTAFF@3,https://albiononline2d.com/en/item/id/T7_2H_FIRESTAFF@3,Crafting Requirements (2),49260,,
T6_OFF_JESTERCANE_HELL@1,https://albiononline2d.com/en/item/id/T6_OFF_JESTERCANE_HELL@1,Crafting Requirements (3),2298,,
T6_2H_TWINSCYTHE_HELL@2,https://albiononline2d.com/en/item/id/T6_2H_TWINSCYTHE_HELL@2,Crafting Requirements (3),16085,,
T7_2H_TOOL_SIEGEHAMMER,https://albiononline2d.com/en/item/id/T7_2H_TOOL_SIEGEHAMMER,Crafting Requirements (2),4596,,
T6_SHOES_LEATHER_SET3@1,https://albiononline2d.com/en/item/id/T6_SHOES_LEATHER_SET3@1,Crafting Requirements (1),2298,,
T7_2H_NATURESTAFF_HELL@3,https://albiononline2d.com/en/item/id/T7_2H_NATURESTAFF_HELL@3,Crafting Requirements (3),49260,,
T7_2H_AXE@1,https://albiononline2d.com/en/item/id/T7_2H_AXE@1,Crafting Requirements (2),16085,,
T6_OFF_JESTERCANE_HELL@2,https://albiononline2d.com/en/item/id/T6_OFF_JESTERCANE_HELL@2,Crafting Requirements (3),4021,,
T6_HEAD_LEATHER_SET3@4,https://albiononline2d.com/en/item/id/T6_HEAD_LEATHER_SET3@4,Crafting Requirements (1),12315,,
T6_SHOES_LEATHER_SET3@2,https://albiononline2d.com/en/item/id/T6_SHOES_LEATHER_SET3@2,Crafting Requirements (1),4021,,
T6_2H_TWINSCYTHE_HELL@3,https://albiononline2d.com/en/item/id/T6_2H_TWINSCYTHE_HELL@3,Crafting Requirements (3),28148,,
T6_OFF_TALISMAN_AVALON@2,https://albiononline2d.com/en/item/id/T6_OFF_TALISMAN_AVALON@2,Crafting Requirements (3),4021,,
T7_2H_KNUCKLES_HELL@3,https://albiononline2d.com/en/item/id/T7_2H_KNUCKLES_HELL@3,Crafting Requirements (3),49260,,
T7_2H_TOOL_SIEGEHAMMER_AVALON,https://albiononline2d.com/en/item/id/T7_2H_TOOL_SIEGEHAMMER_AVALON,Crafting Requirements (3),4596,,
T7_2H_POLEHAMMER,https://albiononline2d.com/en/item/id/T7_2H_POLEHAMMER,Crafting Requirements (2),9191,,
T7_2H_FIRESTAFF@4,https://albiononline2d.com/en/item/id/T7_2H_FIRESTAFF@4,Crafting Requirements (2),86205,,
T6_OFF_JESTERCANE_HELL@3,https://albiononline2d.com/en/item/id/T6_OFF_JESTERCANE_HELL@3,Crafting Requirements (3),7037,,
T7_2H_AXE@2,https://albiononline2d.com/en/item/id/T7_2H_AXE@2,Crafting Requirements (2),28148,,
T6_SHOES_LEATHER_SET3@3,https://albiononline2d.com/en/item/id/T6_SHOES_LEATHER_SET3@3,Crafting Requirements (1),7037,,
T7_2H_CROSSBOWLARGE@1,https://albiononline2d.com/en/item/id/T7_2H_CROSSBOWLARGE@1,Crafting Requirements (2),16085,,
T6_OFF_JESTERCANE_HELL@4,https://albiononline2d.com/en/item/id/T6_OFF_JESTERCANE_HELL@4,Crafting Requirements (3),12315,,
T7_2H_TWINSCYTHE_HELL,https://albiononline2d.com/en/item/id/T7_2H_TWINSCYTHE_HELL,Crafting Requirements (3),9191,,
T6_OFF_TALISMAN_AVALON@3,https://albiononline2d.com/en/item/id/T6_OFF_TALISMAN_AVALON@3,Crafting Requirements (3),7037,,
T6_SHOES_LEATHER_SET3@4,https://albiononline2d.com/en/item/id/T6_SHOES_LEATHER_SET3@4,Crafting Requirements (1),12315,,
T7_2H_HAMMER_UNDEAD@2,https://albiononline2d.com/en/item/id/T7_2H_HAMMER_UNDEAD@2,Crafting Requirements (3),28148,,
T6_HEAD_PLATE_HELL,https://albiononline2d.com/en/item/id/T6_HEAD_PLATE_HELL,Crafting Requirements (2),1313,,
T7_2H_KNUCKLES_KEEPER,https://albiononline2d.com/en/item/id/T7_2H_KNUCKLES_KEEPER,Crafting Requirements (3),9191,,
T7_2H_AXE@3,https://albiononline2d.com/en/item/id/T7_2H_AXE@3,Crafting Requirements (2),49260,,
T6_SHOES_PLATE_HELL,https://albiononline2d.com/en/item/id/T6_SHOES_PLATE_HELL,Crafting Requirements (2),1313,,
T7_2H_FIRESTAFF_HELL,https://albiononline2d.com/en/item/id/T7_2H_FIRESTAFF_HELL,Crafting Requirements (3),9191,,
T7_2H_TWINSCYTHE_HELL@2,https://albiononline2d.com/en/item/id/T7_2H_TWINSCYTHE_HELL@2,Crafting Requirements (3),28148,,
T7_2H_AXE@4,https://albiononline2d.com/en/item/id/T7_2H_AXE@4,Crafting Requirements (2),86205,,
T7_ARMOR_LEATHER_SET2@1,https://albiononline2d.com/en/item/id/T7_ARMOR_LEATHER_SET2@1,Crafting Requirements (1),8042,,
T7_2H_POLEHAMMER@1,https://albiononline2d.com/en/item/id/T7_2H_POLEHAMMER@1,Crafting Requirements (2),16085,,
T6_OFF_TALISMAN_AVALON@4,https://albiononline2d.com/en/item/id/T6_OFF_TALISMAN_AVALON@4,Crafting Requirements (3),12315,,
T7_2H_TWINSCYTHE_HELL@3,https://albiononline2d.com/en/item/id/T7_2H_TWINSCYTHE_HELL@3,Crafting Requirements (3),49260,,
T7_2H_BOW,https://albiononline2d.com/en/item/id/T7_2H_BOW,Crafting Requirements (1),9191,,
T7_2H_CROSSBOWLARGE@4,https://albiononline2d.com/en/item/id/T7_2H_CROSSBOWLARGE@4,Crafting Requirements (2),86205,,
T6_HEAD_PLATE_HELL@1,https://albiononline2d.com/en/item/id/T6_HEAD_PLATE_HELL@1,Crafting Requirements (2),2298,,
T6_SHOES_PLATE_HELL@1,https://albiononline2d.com/en/item/id/T6_SHOES_PLATE_HELL@1,Crafting Requirements (2),2298,,
T7_2H_BOW@1,https://albiononline2d.com/en/item/id/T7_2H_BOW@1,Crafting Requirements (1),16085,,
T7_2H_FIRESTAFF_HELL@1,https://albiononline2d.com/en/item/id/T7_2H_FIRESTAFF_HELL@1,Crafting Requirements (3),16085,,
T7_ARMOR_LEATHER_SET2@2,https://albiononline2d.com/en/item/id/T7_ARMOR_LEATHER_SET2@2,Crafting Requirements (1),14074,,
T7_2H_WARBOW,https://albiononline2d.com/en/item/id/T7_2H_WARBOW,Crafting Requirements (1),9191,,
T6_OFF_TORCH,https://albiononline2d.com/en/item/id/T6_OFF_TORCH,Crafting Requirements (2),1313,,
T7_2H_HAMMER_UNDEAD@3,https://albiononline2d.com/en/item/id/T7_2H_HAMMER_UNDEAD@3,Crafting Requirements (3),49260,,
T7_2H_POLEHAMMER@2,https://albiononline2d.com/en/item/id/T7_2H_POLEHAMMER@2,Crafting Requirements (2),28148,,
T7_2H_BOW@2,https://albiononline2d.com/en/item/id/T7_2H_BOW@2,Crafting Requirements (1),28148,,
T6_SHOES_PLATE_HELL@2,https://albiononline2d.com/en/item/id/T6_SHOES_PLATE_HELL@2,Crafting Requirements (2),4021,,
T7_2H_WARBOW@1,https://albiononline2d.com/en/item/id/T7_2H_WARBOW@1,Crafting Requirements (1),16085,,
T7_ARMOR_LEATHER_SET2@3,https://albiononline2d.com/en/item/id/T7_ARMOR_LEATHER_SET2@3,Crafting Requirements (1),24630,,
T7_2H_BOW@3,https://albiononline2d.com/en/item/id/T7_2H_BOW@3,Crafting Requirements (1),49260,,
T7_2H_HAMMER_UNDEAD@4,https://albiononline2d.com/en/item/id/T7_2H_HAMMER_UNDEAD@4,Crafting Requirements (3),86205,,
T6_OFF_TORCH@1,https://albiononline2d.com/en/item/id/T6_OFF_TORCH@1,Crafting Requirements (2),2298,,
T7_2H_KNUCKLES_KEEPER@1,https://albiononline2d.com/en/item/id/T7_2H_KNUCKLES_KEEPER@1,Crafting Requirements (3),16085,,
T6_SHOES_PLATE_HELL@3,https://albiononline2d.com/en/item/id/T6_SHOES_PLATE_HELL@3,Crafting Requirements (2),7037,,
T6_HEAD_PLATE_HELL@2,https://albiononline2d.com/en/item/id/T6_HEAD_PLATE_HELL@2,Crafting Requirements (2),4021,,
T7_2H_FIRESTAFF_HELL@2,https://albiononline2d.com/en/item/id/T7_2H_FIRESTAFF_HELL@2,Crafting Requirements (3),28148,,
T7_2H_WARBOW@2,https://albiononline2d.com/en/item/id/T7_2H_WARBOW@2,Crafting Requirements (1),28148,,
T7_2H_POLEHAMMER@3,https://albiononline2d.com/en/item/id/T7_2H_POLEHAMMER@3,Crafting Requirements (2),49260,,
T7_2H_CURSEDSTAFF,https://albiononline2d.com/en/item/id/T7_2H_CURSEDSTAFF,Crafting Requirements (2),9191,,
T6_SHOES_PLATE_HELL@4,https://albiononline2d.com/en/item/id/T6_SHOES_PLATE_HELL@4,Crafting Requirements (2),12315,,
T7_2H_BOW@4,https://albiononline2d.com/en/item/id/T7_2H_BOW@4,Crafting Requirements (1),86205,,
T7_2H_WARBOW@3,https://albiononline2d.com/en/item/id/T7_2H_WARBOW@3,Crafting Requirements (1),49260,,
T7_ARTEFACT_2H_ICECRYSTAL_UNDEAD,https://albiononline2d.com/en/item/id/T7_ARTEFACT_2H_ICECRYSTAL_UNDEAD,Crafting Requirements (1),,,
T6_SHOES_PLATE_SET1,https://albiononline2d.com/en/item/id/T6_SHOES_PLATE_SET1,Crafting Requirements (1),1313,,
T7_ARMOR_LEATHER_SET2@4,https://albiononline2d.com/en/item/id/T7_ARMOR_LEATHER_SET2@4,Crafting Requirements (1),43102,,
T7_2H_FLAIL,https://albiononline2d.com/en/item/id/T7_2H_FLAIL,Crafting Requirements (2),9191,,
T6_OFF_TORCH@2,https://albiononline2d.com/en/item/id/T6_OFF_TORCH@2,Crafting Requirements (2),4021,,
T7_2H_BOW_HELL,https://albiononline2d.com/en/item/id/T7_2H_BOW_HELL,Crafting Requirements (2),9191,,
T7_2H_CURSEDSTAFF@1,https://albiononline2d.com/en/item/id/T7_2H_CURSEDSTAFF@1,Crafting Requirements (2),16085,,
T7_2H_WARBOW@4,https://albiononline2d.com/en/item/id/T7_2H_WARBOW@4,Crafting Requirements (1),86205,,
T6_HEAD_PLATE_HELL@3,https://albiononline2d.com/en/item/id/T6_HEAD_PLATE_HELL@3,Crafting Requirements (2),7037,,
T7_2H_KNUCKLES_KEEPER@2,https://albiononline2d.com/en/item/id/T7_2H_KNUCKLES_KEEPER@2,Crafting Requirements (3),28148,,
T6_SHOES_PLATE_SET1@1,https://albiononline2d.com/en/item/id/T6_SHOES_PLATE_SET1@1,Crafting Requirements (1),2298,,
T7_2H_HARPOON_HELL,https://albiononline2d.com/en/item/id/T7_2H_HARPOON_HELL,Crafting Requirements (3),9191,,
T7_2H_FLAIL@1,https://albiononline2d.com/en/item/id/T7_2H_FLAIL@1,Crafting Requirements (2),16085,,
T7_2H_POLEHAMMER@4,https://albiononline2d.com/en/item/id/T7_2H_POLEHAMMER@4,Crafting Requirements (2),86205,,
T7_2H_BOW_HELL@1,https://albiononline2d.com/en/item/id/T7_2H_BOW_HELL@1,Crafting Requirements (2),16085,,
T6_SHOES_PLATE_SET1@2,https://albiononline2d.com/en/item/id/T6_SHOES_PLATE_SET1@2,Crafting Requirements (1),4021,,
T7_2H_WILDSTAFF,https://albiononline2d.com/en/item/id/T7_2H_WILDSTAFF,Crafting Requirements (2),9191,,
T7_2H_KNUCKLES_KEEPER@3,https://albiononline2d.com/en/item/id/T7_2H_KNUCKLES_KEEPER@3,Crafting Requirements (3),49260,,
T7_ARMOR_LEATHER_SET3,https://albiononline2d.com/en/item/id/T7_ARMOR_LEATHER_SET3,Crafting Requirements (1),4596,,
T6_OFF_TORCH@3,https://albiononline2d.com/en/item/id/T6_OFF_TORCH@3,Crafting Requirements (2),7037,,
T7_ARTEFACT_2H_ICEGAUNTLETS_HELL,https://albiononline2d.com/en/item/id/T7_ARTEFACT_2H_ICEGAUNTLETS_HELL,Crafting Requirements (1),,,
T6_SHOES_PLATE_SET1@3,https://albiononline2d.com/en/item/id/T6_SHOES_PLATE_SET1@3,Crafting Requirements (1),7037,,
T7_2H_BOW_HELL@2,https://albiononline2d.com/en/item/id/T7_2H_BOW_HELL@2,Crafting Requirements (2),28148,,
T7_2H_CURSEDSTAFF@2,https://albiononline2d.com/en/item/id/T7_2H_CURSEDSTAFF@2,Crafting Requirements (2),28148,,
T7_2H_WILDSTAFF@1,https://albiononline2d.com/en/item/id/T7_2H_WILDSTAFF@1,Crafting Requirements (2),16085,,
T7_2H_KNUCKLES_KEEPER@4,https://albiononline2d.com/en/item/id/T7_2H_KNUCKLES_KEEPER@4,Crafting Requirements (3),86205,,
T6_SHOES_PLATE_SET1@4,https://albiononline2d.com/en/item/id/T6_SHOES_PLATE_SET1@4,Crafting Requirements (1),12315,,
T7_2H_FLAIL@2,https://albiononline2d.com/en/item/id/T7_2H_FLAIL@2,Crafting Requirements (2),28148,,
T7_ARMOR_LEATHER_SET3@1,https://albiononline2d.com/en/item/id/T7_ARMOR_LEATHER_SET3@1,Crafting Requirements (1),8042,,
T7_2H_CLAWPAIR,https://albiononline2d.com/en/item/id/T7_2H_CLAWPAIR,Crafting Requirements (2),9191,,
T6_OFF_TORCH@4,https://albiononline2d.com/en/item/id/T6_OFF_TORCH@4,Crafting Requirements (2),12315,,
